age,MonthlyIncome,NumberOfDependents,DebtRatio,RevolvingUtilizationOfUnsecuredLines,NumberOfOpenCreditLinesAndLoans,NumberOfTime30-59DaysPastDueNotWorse,NumberOfTime60-89DaysPastDueNotWorse,NumberOfTimes90DaysLate,TotalPastDueCount,IncomePerDependent,SeriousDlqin2yrs
49,4150000.0,0.0,0.3263,0.7582,10,1,0,0,1,4150000.0,0
31,5180000.0,1.0,0.6169,0.5395,8,1,0,0,1,2590000.0,0
55,2370000.0,0.0,0.4922,0.6059,12,0,0,0,0,2370000.0,0
57,2170000.0,2.0,0.6787,0.4016,7,1,0,0,1,723333.3333333334,0
20,5050000.0,2.0,0.2093,0.3584,9,0,0,0,0,1683333.3333333333,0
28,3170000.0,0.0,0.3272,0.2054,10,0,0,0,0,3170000.0,0
47,2090000.0,0.0,0.2423,0.3887,6,0,0,0,0,2090000.0,0
41,8920000.0,0.0,0.3966,0.1372,11,1,0,0,1,8920000.0,0
45,3420000.0,0.0,0.2118,0.2441,6,0,0,1,1,3420000.0,0
34,9970000.0,2.0,0.3275,0.3536,9,1,0,0,1,3323333.3333333335,0
56,5090000.0,2.0,0.3837,0.2533,13,0,0,0,0,1696666.6666666667,0
55,5970000.0,1.0,0.9723,0.7988,13,1,0,0,1,2985000.0,0
46,4400000.0,0.0,0.2688,0.0889,3,0,0,0,0,4400000.0,0
60,1020000.0,0.0,0.4644,0.1062,6,0,0,0,0,1020000.0,0
51,2530000.0,0.0,0.9292,0.089,7,0,1,0,1,2530000.0,0
34,4640000.0,1.0,0.0987,0.1325,9,0,0,0,0,2320000.0,0
50,6220000.0,2.0,0.5439,0.1185,6,0,0,0,0,2073333.3333333333,0
33,1710000.0,2.0,0.5405,0.4849,3,0,1,0,1,570000.0,0
56,4840000.0,1.0,0.4279,0.6107,7,0,0,0,0,2420000.0,0
44,2550000.0,0.0,0.3572,0.1016,4,0,0,0,0,2550000.0,0
43,5760000.0,0.0,0.8766,0.3581,7,0,0,0,0,5760000.0,0
36,4940000.0,1.0,0.4957,0.1364,7,1,0,0,1,2470000.0,0
61,7810000.0,0.0,0.4363,0.676,8,0,0,0,0,7810000.0,0
43,9480000.0,0.0,0.4183,0.4834,1,0,1,0,1,9480000.0,0
39,6590000.0,1.0,0.2778,0.4138,6,0,0,0,0,3295000.0,0
40,8380000.0,1.0,0.2394,0.3328,7,0,0,0,0,4190000.0,0
52,4050000.0,0.0,0.2585,0.6128,13,1,0,0,1,4050000.0,0
50,22510249.99999996,1.0,0.3196,0.4408,4,0,0,0,0,11255124.99999998,0
50,2410000.0,0.0,0.3324,0.2966,6,0,0,0,0,2410000.0,0
51,3640000.0,2.0,0.0436,0.1277,7,0,0,0,0,1213333.3333333333,0
73,8590000.0,1.0,0.5648,0.5942,9,0,0,0,0,4295000.0,0
40,7850000.0,0.0,0.1164,0.3517,9,0,0,0,0,7850000.0,0
38,6700000.0,0.0,0.4412,0.1059,8,0,0,0,0,6700000.0,0
34,7500000.0,0.0,0.1874,0.1528,7,0,1,0,1,7500000.0,0
53,1430000.0,0.0,0.447,0.4002,6,0,0,0,0,1430000.0,0
60,12970000.0,1.0,1.072,0.2843,6,1,0,0,1,6485000.0,0
44,5050000.0,0.0,0.1197,0.3303,3,0,0,0,0,5050000.0,0
34,10560000.0,1.0,0.4148,0.1515,3,0,0,1,1,5280000.0,0
34,1480000.0,1.0,0.4,0.0096,8,0,0,1,1,740000.0,0
53,5830000.0,2.0,0.1369,0.1254,9,0,1,0,1,1943333.3333333333,0
55,3570000.0,1.0,0.9203,0.3731,9,0,1,0,1,1785000.0,0
52,7050000.0,0.0,0.1431,0.4124,5,0,1,0,1,7050000.0,0
36,6050000.0,0.0,0.0848,0.5287,7,0,0,0,0,6050000.0,0
48,6230000.0,1.0,0.2477,0.4833,10,0,0,0,0,3115000.0,0
47,2650000.0,0.0,0.9458,0.5202,10,0,0,0,0,2650000.0,0
48,4830000.0,0.0,0.4394,0.3158,11,0,0,0,0,4830000.0,0
56,4490000.0,1.0,0.8857,0.0511,10,0,0,0,0,2245000.0,0
48,6730000.0,1.0,0.5144,0.4874,9,0,0,0,0,3365000.0,0
